               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11556,            0.044743,             0.05151,           0.0001845,            0.066667,          0.00033634,           0.0001465,             0.10289,            0.032463,            0.047991,              0.0865,              0.0015,              0.0015
                   1,              0.1023,            0.045785,             0.04516,           0.0025415,             0.26961,           0.0025151,          0.00068001,            0.088723,            0.033755,            0.040655,             0.07209,           0.0030898,           0.0030898
                   2,            0.093663,            0.047105,            0.037328,            0.010546,             0.30817,            0.024897,           0.0054953,            0.076046,            0.033678,            0.025374,            0.057669,            0.004669,            0.004669
                   3,            0.088897,            0.043802,            0.027447,              0.4307,            0.094771,            0.025112,           0.0066936,            0.092215,            0.028049,             0.01806,            0.043238,           0.0062376,           0.0062376
                   4,            0.097873,            0.035458,            0.022615,             0.22449,             0.25163,            0.026423,           0.0073472,            0.096461,            0.025367,             0.01558,            0.028796,           0.0077957,           0.0077957
                   5,             0.10045,            0.032301,            0.019169,           0.0037307,             0.24695,           0.0049821,           0.0012607,             0.10967,            0.023121,            0.011431,            0.014343,           0.0093433,           0.0093433
                   6,            0.098535,            0.030861,            0.018409,             0.22252,             0.43815,            0.034574,            0.010544,             0.10536,            0.026423,            0.010471,            0.009802,            0.009802,            0.009802
                   7,            0.099282,            0.029876,            0.015949,             0.51198,              0.1163,             0.05226,            0.011108,            0.097765,            0.022016,            0.010699,            0.009802,            0.009802,            0.009802
                   8,            0.097584,            0.029955,            0.016014,             0.43479,             0.23671,            0.054538,            0.018277,            0.092485,            0.024646,            0.010211,            0.009769,            0.009769,            0.009769
                   9,             0.09821,            0.027629,            0.014698,             0.42188,             0.14236,            0.053032,            0.019004,            0.096828,             0.01883,           0.0099122,            0.009736,            0.009736,            0.009736
                  10,             0.09348,                0.03,            0.014531,             0.28409,             0.24611,            0.072849,            0.012012,            0.098086,            0.024819,           0.0081269,            0.009703,            0.009703,            0.009703
                  11,            0.095046,            0.025873,            0.014145,             0.47411,             0.17516,             0.08779,            0.015345,            0.098966,            0.017986,           0.0069127,             0.00967,             0.00967,             0.00967
